"id";"full_name";"cpf";"email";"password_hash";"balance";"pix_daily_limit";"is_blocked";"role";"created_at";"updated_at";"username";"profile_description";"show_stories_popup";"credit_card_due_date";"credit_card_invoice_due_date";"credit_card_available_limit";"credit_card_total_limit";"credit_card_points_balance";"credit_card_is_blocked";"password_reset_requested";"account_status";"days_overdue";"credit_card_due_day";"invoice_last_closed_date";"login_attempts";"card_cvv";"card_expiry";"card_delivery_status";"card_is_activated";"profile_message";"birth_date";"age";"has_tutor";"tutor_name";"tutor_cpf";"tutor_relationship";"country_origin";"address_cep";"address_street";"address_number";"address_complement";"address_neighborhood";"address_city";"address_state";"card_brand";"card_due_day";"overdue_status"
"7b4bd03b-84a2-42aa-9ff5-fbc4ce692497";Gustave Jacquet;"05458223608";Gustave_Jacquet34@gmail.com;$2b$10$0Kdb2NLI2iIDfTt.UhnEe.tbkjrb7BGULMT7iL8KY4SqxMvAePYvO;2000.00;2000.00;false;customer;2026-07-24 01:05:10.217;2026-08-29 00:00:00.260;;;true;;2026-09-15 15:00:00.000;2376.53;5000.00;0;false;false;inadimplente;19;15;;0;"608";"07/31";unlocked;true;Cartão em produção. Criado em 24/07/2026, 01:05 UTC. Validade: 07/31, CVV: 608;;;false;;;;Brasil;;;;;;;;MASTERCARD;10;EM_ATRASO_30D
e3993ee2-b91b-4194-88e3-416eb44c1b68;Leonardo Bianchi;"89287038082";leonardobianchi@fintech.com;$2b$10$YQ38xdbpoOq5m58jsrgiDuSRyWg2se2L5U/jAtLNoDepXtt/XsItS;2118.55;3447.65;false;user;2026-08-14 21:45:17.348;2026-08-14 21:45:17.413;;;true;;2026-09-25 15:00:00.000;1451.71;2164.63;0;false;false;adimplente;0;25;;0;;;manufacturing;false;;1991-05-27;35;false;;;;Itália;"00186";Via del Corso;"824";;Chiaia;Roma;Campania;MASTERCARD;25;EM_DIA
"084f0338-533c-447f-a450-ebdc141afb48";Florie Fontaine;"37810513150";Florie_Fontaine85@gmail.com;$2b$10$/Scm1M8ZYc3qNNQkDLiJz.Bbkoy6WnuJZGscsAyazHOZyEOuAvRty;17000.00;2000.00;false;customer;2026-07-22 16:22:15.338;2026-08-23 03:00:00.146;;;true;;2026-09-15 15:00:00.000;20000.00;20000.00;0;false;false;adimplente;0;15;;0;"150";"07/31";unlocked;true;Cartão em produção. Criado em 22/07/2026, 16:22 UTC. Validade: 07/31, CVV: 150;;;false;;;;Brasil;;;;;;;;MASTERCARD;10;EM_DIA
"3573f631-8294-4f48-a2ae-60095181e246";Flavien Rodriguez;"24662236606";Flavien_Rodriguez86@gmail.com;$2b$10$/Scm1M8ZYc3qNNQkDLiJz.Bbkoy6WnuJZGscsAyazHOZyEOuAvRty;2000.00;2000.00;false;customer;2026-07-19 23:00:16.163;2026-08-29 00:00:00.280;;;true;;2026-09-15 15:00:00.000;0.00;5000.00;0;false;false;inadimplente;50;15;;0;"606";"07/31";unlocked;true;Cartão em produção. Criado em 19/07/2026, 23:00 UTC. Validade: 07/31, CVV: 606;;;false;;;;Brasil;;;;;;;;MASTERCARD;10;EM_ATRASO_30D
"8c342e9f-ddd8-4926-8694-d6933cab70c4";Goncalo Santos;"07154153601";goncalosantos@fintech.com;$2b$10$g1yv3wVQD3Bb9YX6RMK72eZSJwBwJnxW7Qm6caWOHFUIB7JXyvnG6;8141.07;4378.17;false;user;2026-08-14 21:45:26.478;2026-08-29 00:00:00.188;;;true;;2026-09-20 15:00:00.000;3565.96;8129.45;0;false;false;inadimplente;30;20;;0;;;manufacturing;false;;1980-04-07;46;false;;;;Portugal;"1250-096";Rua Garrett;"161";;Cedofeita;Porto;Porto;HIPERCARD;20;EM_ATRASO_30D
d33cc0d7-368a-4269-90f3-4116140431ab;Seoyun Lee;"08025476561";seoyunlee@fintech.com;$2b$10$18TSNXQNkngERLtTtEd9t.ueVfDSFzM8D7vQRSTtIIqyXD0PjbVAm;12510.46;5531.85;false;user;2026-08-14 21:45:46.435;2026-08-29 00:00:00.208;;;true;;2026-09-05 15:00:00.000;2077.73;6392.70;0;false;false;inadimplente;30;5;;0;;;manufacturing;false;;1988-12-14;38;false;;;;Coreia do Sul;"03154";Rua Teheran-ro;"724";;Seocho;Busan;Seul;AMEX;5;EM_ATRASO_30D
"0b364ff5-0d31-43e9-8929-1268718d4313";Santiago Gomez;"11879646706";santiagogomez@fintech.com;$2b$10$t0.PZap5wtPw2zDQbUppV.R2MAAbEbhZUuPDeZEMUk1/YonwR3JIO;5221.23;5439.14;false;user;2026-07-24 17:07:38.906;2026-08-23 03:00:00.094;;;true;;2026-09-10 18:00:00.000;571.06;2971.06;0;false;false;adimplente;0;10;;0;;;unlocked;true;;2000-12-07;26;false;;;;Argentina;C1005;Avenida Colon;"632";;Palermo;Buenos Aires;CABA;ELO;10;EM_DIA
"81da2c50-b586-412b-a278-fae2e6674ad7";Matteo Rossi;"23626419533";matteorossi@fintech.com;$2b$10$gMKMGUE6YQCAa4EFGSMKQu0Xp0dTe01LxIgO53Xxs6K7Fa18IJ9iS;11655.22;5116.65;false;user;2026-07-29 23:48:35.668;2026-08-29 00:00:00.228;;;true;;2026-09-25 18:00:00.000;6696.85;7389.40;0;false;false;inadimplente;4;25;;0;;;manufacturing;false;;1955-11-11;71;false;;;;Itália;"20122";Via del Corso;"324";;Centro Storico;Napoles;Lombardia;MASTERCARD;25;EM_ATRASO_7D
"0bbec286-6d21-4180-a4fa-dc66e4d20bf3";Wei Li;"84585226834";weili@fintech.com;$2b$10$yjQaYQl42fNHfON73slxEeCbXGmIwMaso0HcxdkOwfYrsiQJhlhqe;5889.65;3215.09;false;user;2026-08-16 21:13:11.939;2026-08-29 00:00:00.242;;;true;;2026-09-05 15:00:00.000;13700.60;18290.43;0;false;false;inadimplente;28;5;;0;;;manufacturing;false;;1972-09-23;54;false;;;;China;"200030";Rua Beijing Road;"614";;Yuexiu;Guangzhou;Xangai;HIPERCARD;5;EM_ATRASO_30D
"340556cc-a870-4592-97ee-c2fa58828c26";Alícia Barros;"25713468361";Harmon37@hotmail.com;$2b$10$/Scm1M8ZYc3qNNQkDLiJz.Bbkoy6WnuJZGscsAyazHOZyEOuAvRty;2000.00;2000.00;false;customer;2026-07-04 02:54:07.651;2026-08-29 00:00:00.356;;;true;;2026-09-15 15:00:00.000;3520.13;5000.00;0;false;false;inadimplente;19;15;;0;"361";"07/31";unlocked;true;Cartão de Crédito em Produção;;;false;;;;Brasil;;;;;;;;MASTERCARD;10;EM_ATRASO_30D
